"agree","wave","track","gender"
"no","second","general","F"
"no","second","general","F"
"no","second","general","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","social","F"
"no","second","social","F"
"no","second","social","F"
"no","first","social","F"
"no","first","cognitive","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","second","general","M"
"no","second","general","M"
"no","second","developmental","M"
"no","second","developmental","M"
"no","second","developmental","M"
"no","second","clinical","M"
"no","second","clinical","M"
"no","second","clinical","M"
"no","second","clinical","M"
"no","second","social","M"
"no","second","cognitive","M"
"no","third","developmental","M"
"no","third","developmental","M"
"no","third","developmental","M"
"no","third","developmental","M"
"no","third","developmental","M"
"no","third","developmental","M"
"no","third","developmental","M"
"no","third","clinical","M"
"no","third","clinical","M"
"no","third","clinical","M"
"no","third","social","M"
"no","third","social","M"
"no","third","social","M"
"no","third","social","M"
"no","third","social","M"
"no","third","cognitive","M"
"no","third","cognitive","M"
"no","third","cognitive","M"
"no","third","cognitive","M"
"no","third","cognitive","M"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","general","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","developmental","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","clinical","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","social","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","second","cognitive","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","general","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","developmental","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","clinical","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","social","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","counselling","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","first","cognitive","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","general","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","developmental","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","clinical","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","social","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","third","cognitive","F"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","general","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","developmental","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","clinical","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","social","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","second","cognitive","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","general","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","developmental","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","clinical","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","social","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","counselling","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","first","cognitive","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","general","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","developmental","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","clinical","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","social","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
"yes","third","cognitive","M"
